IV_original_COO,IV_new_FOO,IV_cost,valuation_combined_DV,authenticity_M,essence_comp_M,evidence_M,quality_M,condition
1,0,1,2.666666667,9,9,9,7,2
0,1,0,2.666666667,7,5.25,6.75,5.5,3
0,1,0,2.666666667,7,5,6.5,4,3
0,1,0,2.666666667,3,2.5,9,4.25,3
0,1,0,2.666666667,4,4.5,7.25,6.25,3
0,1,0,2.666666667,1,1,9,1,3
0,1,0,2.666666667,4,3,7.5,5.75,3
0,1,1,2.666666667,5,5.25,9,9,4
0,1,1,2.666666667,9,5,9,8.25,4
0,1,1,2.666666667,5,5.25,9,7.75,4
0,1,1,2.666666667,3,3,2.5,2.5,4
0,1,1,2.666666667,4,5,5.5,4.25,4
0,1,1,2.666666667,6,4,9,6,4
0,0,0,2.666666667,5,3,8.5,5,5
0,0,0,2.666666667,4,3.75,5.25,6.25,5
0,0,0,2.666666667,7,7,6,7.5,5
0,0,0,2.666666667,6,6,9,7.75,5
0,0,1,2.666666667,5,6,5.25,7,6
0,0,1,2.666666667,5,5.666666667,7.5,6,6
0,0,1,2.666666667,7,7,9,7,6
1,0,0,3,9,8,9,8,1
1,0,0,3,8,7.25,8,7.75,1
1,0,0,3,8,5,8,8,1
1,0,0,3,7,5,4.25,6,1
1,0,0,3,8,8,6.25,8,1
1,0,0,3,6,6.75,5.5,4.5,1
1,0,0,3,9,9,9,9,1
1,0,1,3,6,6,7.75,7,2
1,0,1,3,9,8.75,9,7,2
1,0,1,3,5,4.5,9,5.75,2
1,0,1,3,7,7,6.75,6,2
1,0,1,3,3,4.5,6,5.5,2
1,0,1,3,9,8.5,9,8,2
1,0,1,3,9,7.5,9,6.75,2
0,1,0,3,4,4,5.5,4,3
0,1,0,3,6,6,7,7,3
0,1,0,3,4,6,7.5,8,3
0,1,0,3,2,2,6.5,2.75,3
0,1,0,3,3,1.25,7.75,4,3
0,1,1,3,5,5,7,5.5,4
0,1,1,3,7,5,7,6.25,4
0,1,1,3,2,1.5,3.5,4,4
0,1,1,3,7,6.75,9,6.5,4
0,1,1,3,5,5.5,8,7,4
0,1,1,3,5,4.5,6,4.75,4
0,0,0,3,5,3.5,5,5,5
0,0,0,3,6,5.75,9,7.25,5
0,0,0,3,4,4.5,4.5,4.5,5
0,0,0,3,9,8,9,8,5
0,0,0,3,8,8.25,9,7.75,5
0,0,1,3,1,1,1,9,6
0,0,1,3,7,3.25,9,6.5,6
0,0,1,3,8,7.25,9,9,6
0,0,1,3,9,5,9,8,6
0,0,1,3,7,6.5,8.75,7.75,6
0,0,1,3,7,7.5,9,7.25,6
1,0,0,3.333333333,9,8.25,9,7.25,1
1,0,0,3.333333333,9,5.75,8.75,2.25,1
1,0,1,3.333333333,8,5.666666667,9,7.25,2
1,0,1,3.333333333,6,5.75,9,6.75,2
1,0,1,3.333333333,8,7.25,8.75,8.25,2
1,0,1,3.333333333,6,8.25,9,6.75,2
1,0,1,3.333333333,9,7.75,9,8.75,2
0,1,0,3.333333333,9,4.25,9,4.5,3
0,1,0,3.333333333,4,5.75,5.5,5,3
0,1,0,3.333333333,6,6,9,6.75,3
0,1,0,3.333333333,9,5.25,7,7.75,3
0,1,0,3.333333333,4,4.25,5.5,5,3
0,1,0,3.333333333,7,6.75,7,8,3
0,1,1,3.333333333,1,5.25,5,5,4
0,1,1,3.333333333,5,5.5,7,7,4
0,0,0,3.333333333,6,5,9,6,5
0,0,0,3.333333333,8,7.5,9,8,5
0,0,1,3.333333333,9,6.75,7.75,7.75,6
0,0,1,3.333333333,9,9,9,7.5,6
0,0,1,3.333333333,3,4.25,7,6.25,6
0,0,1,3.333333333,9,7.75,9,9,6
0,0,1,3.333333333,5,5.25,9,7,6
1,0,0,3.666666667,9,9,9,9,1
1,0,0,3.666666667,8,4.75,8.25,5,1
1,0,0,3.666666667,9,4.5,9,8,1
1,0,0,3.666666667,9,8,9,9,1
1,0,0,3.666666667,8,6.75,6,6.5,1
1,0,1,3.666666667,8,6.5,9,5.5,2
1,0,1,3.666666667,9,9,9,5.75,2
1,0,1,3.666666667,8,8,9,6.5,2
1,0,1,3.666666667,8,6.75,9,7,2
0,1,0,3.666666667,3,5.5,6.25,7,3
0,1,0,3.666666667,5,5,6,5,3
0,1,0,3.666666667,7,5,8,5,3
0,1,0,3.666666667,1,1,8,5,3
0,1,0,3.666666667,1,2.25,3.75,4.25,3
0,1,0,3.666666667,9,5.75,9,6.75,3
0,1,1,3.666666667,5,3.5,8.75,4.75,4
0,1,1,3.666666667,5,5.25,4.75,5.75,4
0,1,1,3.666666667,6,7,7,7.25,4
0,1,1,3.666666667,7,8,9,8,4
0,1,1,3.666666667,6,5.5,9,6,4
0,1,1,3.666666667,9,7.5,9,9,4
0,0,0,3.666666667,9,8.25,9,7.25,5
0,0,0,3.666666667,9,8.25,9,5,5
0,0,0,3.666666667,7,6.5,7,7.3333335,5
0,0,0,3.666666667,9,4,9,8,5
0,0,1,3.666666667,9,6,9,8,6
0,0,1,3.666666667,5,5,9,5,6
0,0,1,3.666666667,5,5,5.25,5.75,6
1,0,0,4,7,7.25,5.25,6,1
1,0,1,4,9,7.25,9,7,2
0,1,0,4,5,6.75,8,6.25,3
0,1,0,4,9,4,9,8,3
0,1,1,4,5,5,5.75,6,4
0,1,1,4,5,3,5.75,4.5,4
0,0,0,4,9,9,7,8,5
0,0,0,4,5,5.75,9,6,5
0,0,0,4,7,6.25,9,5.75,5
0,0,0,4,9,9,9,9,5
0,0,0,4,6,6,4.25,6.5,5
0,0,0,4,9,9,9,9,5
0,0,1,4,8,8,8,8,6
0,0,1,4,5,4,4.25,5,6
0,0,1,4,6,6,7.75,7.5,6
0,0,1,4,6,6,8.5,6.25,6
1,0,0,4.333333333,9,7.25,7,8.5,1
1,0,1,4.333333333,6,6,7,6.25,2
1,0,1,4.333333333,3,5.5,7,5,2
1,0,1,4.333333333,8,8,8,7,2
1,0,1,4.333333333,5,7,9,7,2
0,1,0,4.333333333,7,6,9,7,3
0,1,0,4.333333333,9,8.25,9,9,3
0,1,0,4.333333333,9,9,7.5,7.25,3
0,1,1,4.333333333,3,4.5,4,4.5,4
0,0,0,4.333333333,9,9,7,7,5
0,0,0,4.333333333,7,6,8.5,8.25,5
0,0,1,4.333333333,8,7.5,9,8,6
0,0,1,4.333333333,7,7,7,7,6
0,0,1,4.333333333,5,5,8,6.75,6
1,0,0,4.666666667,9,9,9,9,1
1,0,0,4.666666667,8,8.5,7.25,8.5,1
1,0,0,4.666666667,9,7.5,9,7.25,1
1,0,1,4.666666667,9,9,9,9,2
1,0,1,4.666666667,9,8,9,6,2
1,0,1,4.666666667,9,9,9,7.75,2
1,0,1,4.666666667,5,4.333333333,4.5,5,2
1,0,1,4.666666667,8,7.75,9,6.75,2
1,0,1,4.666666667,9,8.75,9,6.5,2
0,1,0,4.666666667,6,4.5,7.3333335,7.75,3
0,1,0,4.666666667,5,6,9,9,3
0,1,0,4.666666667,2,5.25,6.5,7.75,3
0,1,0,4.666666667,6,5,9,6.5,3
0,1,1,4.666666667,5,5.25,7,5.25,4
0,1,1,4.666666667,7,5.75,9,6.5,4
0,1,1,4.666666667,4,3.75,6.75,7.75,4
0,0,0,4.666666667,6,5.75,8.5,6.75,5
0,0,0,4.666666667,9,8.75,9,8.75,5
0,0,0,4.666666667,3,2.5,6.5,5,5
0,0,0,4.666666667,9,7.25,9,7.25,5
0,0,0,4.666666667,7,6,9,7,5
0,0,0,4.666666667,4,3,9,6,5
0,0,0,4.666666667,4,5,8,6.25,5
0,0,0,4.666666667,6,5.75,7.6666665,7.25,5
1,0,0,5,9,9,9,9,1
1,0,0,5,5,5,8,6,1
1,0,0,5,5,5,4.25,6,1
1,0,0,5,9,8,9,9,1
1,0,0,5,7,5,9,5.25,1
1,0,0,5,9,9,9,8,1
1,0,1,5,5,8,6,7,2
1,0,1,5,8,6.75,6.75,7.5,2
1,0,1,5,6,6.5,9,7.75,2
1,0,1,5,9,9,9,9,2
1,0,1,5,9,7.5,9,8,2
0,1,0,5,9,9,9,9,3
0,1,0,5,1,1,9,5,3
0,1,0,5,5,7.5,7.75,7.75,3
0,1,0,5,7,6.75,7,7,3
0,1,0,5,9,9,7.25,8.5,3
0,1,0,5,3,4.75,4.25,4.25,3
0,1,0,5,9,9,7,8.25,3
0,0,0,5,7,6.75,8.25,7.5,5
0,0,0,5,8,8.5,9,8.75,5
0,0,0,5,9,9,9,7.5,5
0,0,0,5,9,9,9,9,5
0,0,0,5,4,5.75,4.25,5.75,5
0,0,0,5,9,9,9,9,5
0,0,0,5,5,5,5,5,5
0,0,1,5,5,5,9,8,6
0,0,1,5,9,9,9,9,6
0,0,1,5,9,7,7.5,8,6
0,0,1,5,9,7.5,9,5,6
1,0,0,5.333333333,7,6.25,6,6.75,1
1,0,0,5.333333333,6,3.75,4.5,4.5,1
1,0,0,5.333333333,9,8.25,8.25,8,1
0,1,0,5.333333333,3,4.25,6.25,5.25,3
0,1,0,5.333333333,8,7.5,8,7.5,3
0,0,0,5.333333333,6,6,5.25,5,5
0,0,0,5.333333333,5,5.75,9,7.75,5
0,0,0,5.333333333,7,6.666666667,7.75,7.75,5
0,0,1,5.333333333,6,4,6.75,6,6
1,0,0,5.666666667,9,9,7.75,8,1
1,0,1,5.666666667,5,3.75,5.5,3.5,2
1,0,1,5.666666667,9,9,9,8.25,2
0,1,1,5.666666667,2,2.75,4.25,4.5,4
0,0,0,5.666666667,9,9,9,9,5
0,0,1,5.666666667,9,8,9,7,6
0,0,1,5.666666667,5,7,8.75,9,6
1,0,0,6,9,9,9,9,1
1,0,1,6,6,6,6,6,2
1,0,1,6,8,7.75,7,8,2
1,0,1,6,9,7,6.5,7.6666665,2
0,0,0,6,7,6.75,7.75,7,5
0,0,0,6,7,7.5,7,7,5
0,0,0,6,4,4.25,9,6.25,5
0,0,1,6,5,6.25,7,7,6
0,0,1,6,7,7.25,7,8,6
1,0,0,6.333333333,9,8,9,7.25,1
1,0,1,6.333333333,9,8,8,6.75,2
0,1,1,6.333333333,6,6,7.5,7,4
0,1,1,6.333333333,9,9,9,7.75,4
0,0,1,6.333333333,9,6.25,9,7.75,6
1,0,0,6.666666667,8,8.25,7,8.5,1
1,0,0,6.666666667,9,9,9,9,1
1,0,1,6.666666667,7,7.25,6.75,7,2
0,1,0,6.666666667,6,6.25,7,8.25,3
0,0,0,6.666666667,9,7.5,9,7.5,5
0,0,1,6.666666667,9,8.75,7.25,8,6
0,0,1,6.666666667,7,7.5,7.25,7.75,6
1,0,0,7,6,6,5,5,1
1,0,1,7,9,9,9,9,2
1,0,1,7,9,8,9,6,2
1,0,1,7,7,7.25,8.25,8.25,2
0,1,0,7,8,6.5,7.5,8,3
0,0,0,7,8,2.75,9,7,5
1,0,0,7.333333333,7,7,6.75,7,1
1,0,0,7.333333333,6,6.5,6.75,7.5,1
1,0,1,7.333333333,9,9,9,8.5,2
0,1,0,7.333333333,7,6,7,6.75,3
1,0,0,7.666666667,9,9,9,9,1
1,0,0,7.666666667,9,9,6.25,8,1
1,0,1,7.666666667,9,9,9,9,2
0,0,0,7.666666667,9,9,9,9,5
1,0,0,8,6,6.75,7.25,7,1
0,0,1,8,8,7,9,6.25,6
1,0,1,8.333333333,8,8,8,7.75,2
0,1,1,8.333333333,8,8.5,7,9,4
0,0,1,8.333333333,9,8.75,7,7.75,6
1,0,1,8.666666667,8,8.5,9,9,2
0,1,1,8.666666667,7,6,7.25,8.25,4
0,0,0,9,8,7.25,8.5,7.5,5
