ResponseID,IPadd,start,end,duration,compare,bonmor_1,bonmor_2,moral1,shallo1,superf1,compet1,status1,appear1,ineq1,keepup1,fitmor_1,fitmor_2,moral2,shallo2,superf2,compet2,status2,appear2,ineq2,keepup2,houmor_1,houmor_2,moral3,shallo3,superf3,compet3,status3,appear3,ineq3,keepup3,carmor_1,carmor_2,moral4,shallo4,superf4,compet4,status4,appear4,ineq4,keepup4,commor_1,commor_2,moral5,shallo5,superf5,compet5,status5,appear5,ineq5,keepup5,gpamor_1,gpamor_2,moral6,shallo6,superf6,compet6,status6,appear6,ineq6,keepup6,moral,shallo,superf,shal_sup,compet,status,appear,ineq,keepup,filltm ,MIS_I1,MIS_I2,MIS_I3r,MIS_I4r,MIS_I5,MIS_S1,MIS_S2,MIS_S3,MIS_S4,MIS_S5,MIS,MIS_I,MIS_S,compet_1,compet_2,compet_3,compet_4,tr_comp,SCO_1,SCO_2,SCO_3,SCO_4,SCO_5r,SCO_6,SCO_7,SCO_8,SCO_9,SCO_10,SCO_11r,SCO,attn,PIgen,PIsoc,PIfor,PIecon,PIavg,mturkid,age,gender,open,Latitude,Longitude
R_3dY5jcQemHuJFHG,174.134.51.112,10/16/2018 13:24,10/16/2018 13:29,5.400000005,1,5,2,3.5,4,4,3,4,5,4,4,1,1,1,7,6,7,6,6,4,7,3,3,3,7,7,6,6,7,4,6,3,3,3,6,7,6,7,6,5,7,4,4,4,5,6,5,6,5,5,5,4,5,4.5,1,1,6,1,3,4,5,3.166666667,5,5.166666667,5.083333333,5.5,5,5.333333333,4.333333333,5.666666667,77.251,4,4,5,5,4,3,3,3,3,3,3.7,4.4,3,4,4,4,4,4,6,5,3,6,5,5,6,6,6,6,3,5.181818182,0,4,4,4,4,4,A1I4N5DWJBTZ5C,26,2,n/a,35.38319397,-119.2272034
R_1rkVi37JtdNbgox,192.80.139.37,10/16/2018 13:26,10/16/2018 13:29,3.733333336,-1,7,7,7,6,7,8,6,7,5,7,7,6,6.5,8,6,7,8,6,6,7,6,7,6.5,6,7,8,6,7,6,7,6,7,6.5,6,7,8,6,7,5,6,7,6,6.5,8,6,7,8,6,6,7,7,6,6.5,8,6,7,8,7,6,7,6.583333333,7,6.5,6.75,7.5,7,6.666666667,5.666666667,6.833333333,77.031,5,4,3,2,4,5,5,3,4,3,3.8,3.6,4,4,5,4,5,4.5,7,4,5,7,1,5,4,6,4,6,2,4.636363636,0,5,6,7,6,6.333333333,A1OB7OBC48BWSM,26,2,this survey nice,34.0007019,-81.03479767
R_22CYHU2Zm7Xj93B,108.62.53.113,10/16/2018 13:24,10/16/2018 13:29,4.983333335,1,6,6,6,8,7,8,7,8,7,6,7,6,6.5,8,7,8,7,8,7,6,7,6,6.5,8,7,8,8,7,7,6,6,7,6.5,8,7,8,8,7,7,6,7,6,6.5,8,7,8,8,7,7,6,7,6,6.5,8,7,8,8,7,7,6,6.416666667,8,7,7.5,8,7.666666667,7.333333333,7,6,77.166,5,5,1,2,4,5,4,4,5,4,3.9,3.4,4.4,5,4,5,4,4.5,6,6,7,7,1,6,7,6,7,7,2,5.636363636,0,7,6,7,6,6.333333333,A1IOP3TS9RZJ8F,28,1,very well,40.86210632,-74.41169739
R_9H0BMlnOc4BMz6h,69.58.123.15,10/16/2018 13:24,10/16/2018 13:29,4.983333335,1,4,4,4,6,6,6,6,6,4,4,5,5,5,6,6,6,5,6,4,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,4.333333333,5.166666667,5.166666667,5.166666667,5.166666667,5,5.166666667,4,4.166666667,77.197,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,0,3,3,3,3,3,A2FBP73AQACKZ2,35,1,,40.11459351,-82.91049957
R_p58Y2vmOtwRUkWR,198.179.4.254,10/16/2018 13:24,10/16/2018 13:29,5.733333332,-1,4,4,4,5,4,5,5,5,4,4,4,3,3.5,5,6,5,5,5,4,4,4,4,4,5,4,5,5,5,4,4,4,5,4.5,5,4,5,5,5,4,4,3,5,4,4,5,6,5,5,4,4,4,3,3.5,5,5,4,5,5,4,5,3.916666667,4.833333333,4.666666667,4.75,5,5,5,4,4.166666667,77.016,4,5,5,5,4,3,4,4,5,5,4.4,4.6,4.2,5,4,4,4,4.25,4,5,4,4,4,4,5,4,4,4,4,4.181818182,0,4,4,4,4,4,AHI4R9YE0SF9E,29,1,No additional comments. ,39.33309937,-76.78489685
R_2Ui4ENJd8H4nmFr,204.186.88.114,10/16/2018 13:24,10/16/2018 13:29,5.64999999,-1,3,3,3,7,7,8,8,8,3,7,5,5,5,4,4,4,4,6,4,4,4,4,4,6,6,6,6,7,4,6,3,3,3,8,8,8,8,8,7,7,4,4,4,5,5,5,5,5,4,5,4,4,4,5,5,5,5,5,4,5,3.833333333,5.833333333,5.833333333,5.833333333,6,6,6.5,4.333333333,5.666666667,77.201,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,5,5,6,6,5,5,6,5,5,5,7,5.454545455,0,1,1,1,1,1,A1RL9PZSR9DOHY,36,2,,41.47869873,-75.19779968
R_30oELLLMa7rI2HQ,162.248.134.233,10/16/2018 13:24,10/16/2018 13:29,5.383333334,-1,4,6,5,5,5,6,6,7,5,4,4,5,4.5,5,5,6,6,7,4,5,5,4,4.5,5,5,5,6,6,5,4,4,5,4.5,4,5,6,5,6,5,4,4,5,4.5,5,5,5,6,7,4,5,5,4,4.5,5,5,6,6,5,4,5,4.583333333,4.833333333,5,4.916666667,5.666666667,5.833333333,6.333333333,4.5,4.5,77.037,4,3,2,2,4,3,4,4,3,3,3.2,3,3.4,4,4,4,3,3.75,4,4,5,3,3,4,4,4,5,5,3,4,0,5,4,5,4,4.333333333,A24AMUTP80VAVO,40,1,none,37.75100708,-97.8219986
R_1fl795mHdHYWijy,172.245.180.161,10/16/2018 13:24,10/16/2018 13:30,5.716666662,-1,3,5,4,3,4,5,6,7,4,6,2,6,4,4,5,6,7,8,4,5,4,7,5.5,3,4,5,6,7,3,5,4,5,4.5,4,5,6,6,7,4,6,3,4,3.5,4,5,6,7,8,5,4,6,5,5.5,5,6,7,8,7,5,4,4.5,3.833333333,4.833333333,4.333333333,5.833333333,6.666666667,7.333333333,4.166666667,5,77.156,2,3,1,2,4,5,3,3,2,4,2.9,2.4,3.4,4,3,1,2,2.5,3,5,7,5,2,2,3,2,4,4,2,3.545454545,0,2,4,6,4,4.666666667,A3UYUPDU2R5FHT,49,1,good,42.88639832,-78.87809753
R_cJgfI2O1fpuGuKl,192.241.122.70,10/16/2018 13:26,10/16/2018 13:30,4.249999998,1,6,7,6.5,7,5,6,8,7,7,6,6,7,6.5,7,5,6,8,7,6,7,5,7,6,7,5,6,8,7,6,7,7,5,6,7,5,6,8,7,7,7,7,7,7,7,6,8,7,5,7,7,6,4,5,7,5,6,8,7,6,5,6.166666667,7,5.166666667,6.083333333,6.333333333,7.833333333,6.666666667,6.5,6.5,77.062,4,5,2,3,4,5,4,5,5,5,4.2,3.6,4.8,5,4,5,5,4.75,5,7,7,5,2,6,5,6,4,6,4,5.181818182,0,1,2,2,2,2,A3PG7A1HCHG9E9,27,2,,30.27130127,-97.74259949
R_2CK4spcXnRVyZ85,68.6.116.2,10/16/2018 13:24,10/16/2018 13:30,5.466666666,1,4,4,4,4,6,6,5,5,4,4,5,4,4.5,4,3,3,3,3,3,3,2,2,2,7,8,8,8,7,6,6,1,1,1,7,8,8,7,7,6,6,6,4,5,5,5,4,4,5,4,3,6,6,6,1,1,6,1,1,3,3,3.75,4.666666667,5.166666667,4.916666667,5.833333333,4.666666667,4.666666667,4.333333333,4.166666667,77.006,4,4,4,2,4,3,3,3,4,3,3.4,3.6,3.2,4,4,2,3,3.25,4,3,4,4,4,4,5,5,4,5,4,4.181818182,0,3,3,3,3,3,A2C7TMRC2QHTIW,32,1,,34.42959595,-119.8611984
R_1P6SDQlyLUUFCOQ,67.208.97.210,10/16/2018 13:24,10/16/2018 13:30,5.699999991,1,6,4,5,5,5,6,6,6,2,4,5,3,4,6,6,5,6,6,2,5,2,4,3,4,5,6,5,6,2,3,5,3,4,5,6,6,6,6,2,5,5,4,4.5,5,6,6,6,5,2,4,6,6,6,3,3,7,5,5,2,3,4.416666667,4.666666667,5.166666667,4.916666667,6,5.666666667,5.666666667,2,4,79.528,5,4,5,5,5,3,4,3,3,4,4.1,4.8,3.4,4,5,4,4,4.25,5,5,6,5,6,5,6,4,5,5,6,5.272727273,0,2,2,2,3,2.333333333,A2IIDZ73IWBGDP,31,2,,45.5269928,-122.6853943
R_1jdIIQXYc3uVmVQ,75.97.6.104,10/16/2018 13:24,10/16/2018 13:30,5.683333331,1,5,5,5,4,4,5,4,4,3,5,3,4,3.5,6,6,6,6,7,3,5,5,4,4.5,4,4,5,5,6,3,5,3,3,3,5,5,6,6,6,3,5,4,4,4,4,4,6,5,6,3,5,4,4,4,3,3,6,4,5,2,2,4,4.333333333,4.333333333,4.333333333,5.666666667,5,5.666666667,2.833333333,4.5,77.01,5,5,5,1,5,4,5,3,5,5,4.3,4.2,4.4,4,4,4,4,4,5,4,6,6,4,6,6,3,6,5,6,5.181818182,0,1,1,1,1,1,A9IT2NWQ3R53J,31,2,,40.17559814,-76.18209839
R_6ujVXYJw2ruFMwF,45.47.95.128,10/16/2018 13:24,10/16/2018 13:30,5.61666667,1,7,7,7,1,1,6,7,4,2,4,7,4,5.5,4,6,1,7,7,4,6,7,3,5,5,7,5,6,8,4,6,7,4,5.5,7,8,5,7,8,3,7,7,3,5,6,7,5,6,6,3,5,6,6,6,4,3,7,5,6,3,5,5.666666667,4.5,5.333333333,4.916666667,4.833333333,6.333333333,6.5,3.166666667,5.5,77.106,5,5,5,5,5,4,4,4,3,3,4.3,5,3.6,2,4,3,1,2.5,2,2,1,1,2,1,6,1,2,1,3,2,0,4,3,5,5,4.333333333,A1ZQ7A1CUV6RD8,34,2,,43.17649841,-76.36399841
R_Olp99QZoHHDgzzb,196.16.108.223,10/16/2018 13:25,10/16/2018 13:30,4.733333329,1,5,6,5.5,5,7,5,6,7,6,5,7,4,5.5,7,5,6,7,6,5,6,6,4,5,7,7,8,6,8,6,7,5,6,5.5,6,8,8,7,8,5,7,4,5,4.5,6,7,6,7,6,5,7,6,4,5,6,7,6,7,6,6,7,5.166666667,6.166666667,6.833333333,6.5,6.5,6.666666667,6.833333333,5.5,6.5,77.172,4,4,2,1,5,4,4,4,5,5,3.8,3.2,4.4,4,3,4,3,3.5,3,6,5,6,2,5,7,7,4,6,3,4.909090909,1,6,7,6,7,6.666666667,AG8SE1APISK53,30,1,GOOD,34.05439758,-118.2440033
R_1IydCvVIDCJt9nW,107.77.199.156,10/16/2018 13:23,10/16/2018 13:30,6.766666666,-1,4,4,4,6,6,6,5,6,1,6,7,2,4.5,7,7,7,7,7,1,6,7,2,4.5,5,5,6,5,7,1,6,6,2,4,7,7,7,7,7,1,6,7,2,4.5,6,6,6,5,6,2,6,6,2,4,5,5,8,5,8,2,6,4.25,6,6,6,6.666666667,5.666666667,6.833333333,1.333333333,6,77.115,4,3,5,5,4,2,2,2,2,2,3.1,4.2,2,2,3,2,3,2.5,3,3,3,3,2,3,3,3,3,3,3,2.909090909,0,2,2,2,2,2,A3DUPZSMU9W5R ,43,2,None,33.01980591,-96.69889832
R_2DYxWwPYn5JQrcj,131.93.134.41,10/16/2018 13:25,10/16/2018 13:30,5.350000004,-1,4,4,4,6,6,7,5,5,2,5,4,4,4,6,6,5,6,7,2,5,4,4,4,5,6,6,6,5,3,5,4,4,4,6,6,7,6,5,3,5,4,4,4,5,6,5,5,5,2,6,4,4,4,5,5,7,5,5,2,6,4,5.5,5.833333333,5.666666667,6.166666667,5.5,5.333333333,2.333333333,5.333333333,77.09,4,4,5,4,4,2,2,2,2,2,3.1,4.2,2,4,2,2,4,3,2,2,5,2,2,2,5,5,5,5,3,3.454545455,0,4,2,6,6,4.666666667,A1ZD8RU6YB0VEU,24,1,low paying,46.46380615,-90.15879822
R_262nWDyZkOMyBwi,107.174.128.126,10/16/2018 13:25,10/16/2018 13:30,4.966666665,1,5,6,5.5,5,6,5,6,5,4,5,4,5,4.5,5,6,5,7,6,5,4,4,5,4.5,6,5,7,6,6,5,6,5,7,6,6,7,5,7,7,4,6,6,4,5,5,6,7,6,7,5,5,7,4,5.5,5,7,5,7,6,5,4,5.166666667,5.333333333,6.166666667,5.75,5.666666667,6.5,6.166666667,4.666666667,5,77.2,3,3,2,1,4,3,4,5,5,3,3.3,2.6,4,4,5,3,4,4,6,5,5,7,3,5,4,6,3,5,3,4.727272727,0,6,4,5,6,5,AB4OEOCO8ZDTX,28,2,NICE STUDY,42.88639832,-78.87809753
R_3q9Cxuxb7nptQDP,128.138.65.94,10/16/2018 13:25,10/16/2018 13:30,5.333333333,-1,4,4,4,6,6,7,6,6,5,5,5,5,5,6,6,6,6,7,3,6,5,5,5,4,4,4,5,5,3,3,4,4,4,5,6,6,6,7,4,5,5,5,5,5,4,6,6,6,3,4,4,4,4,4,4,5,5,4,3,4,4.5,5,5,5,5.666666667,5.666666667,5.833333333,3.5,4.5,77.087,5,4,4,4,4,2,2,3,3,4,3.5,4.2,2.8,3,2,3,3,2.75,5,5,5,5,5,4,5,4,5,4,5,4.727272727,0,2,2,2,2,2,A202KZELZ2K38B,21,2,,40.01499939,-105.2705994
R_2uQVYLQDAvLpPYD,104.200.37.120,10/16/2018 13:25,10/16/2018 13:30,5.416666665,-1,6,7,6.5,7,8,7,8,7,6,7,7,6,6.5,7,8,7,8,7,7,6,7,6,6.5,8,7,8,7,8,7,6,7,6,6.5,7,8,7,8,7,7,6,7,6,6.5,7,8,7,8,7,6,7,6,7,6.5,7,8,7,7,8,6,7,6.5,7.166666667,7.833333333,7.5,7.166666667,7.666666667,7.333333333,6.5,6.5,78.853,4,5,1,2,5,4,5,5,4,4,3.9,3.4,4.4,5,4,4,5,4.5,5,6,7,6,1,5,6,5,6,6,1,4.909090909,0,6,7,6,7,6.666666667,ALJMVJ1L3NUTE,28,2,NICE SURVEY,35.65280151,-97.47810364
R_2YwTEyLpL218sGO,47.149.16.104,10/16/2018 13:23,10/16/2018 13:30,6.966666661,1,4,2,3,4,4,7,5,5,2,3,3,3,3,5,6,7,7,8,3,6,5,4,4.5,3,3,5,5,5,2,4,2,3,2.5,5,5,6,6,6,3,4,5,3,4,3,4,4,3,4,2,2,6,5,5.5,4,3,5,4,5,2,5,3.75,4,4.166666667,4.083333333,5.666666667,5,5.5,2.333333333,4,77.025,5,5,5,4,5,4,4,4,4,4,4.4,4.8,4,2,3,2,4,2.75,5,5,5,6,6,6,6,7,6,6,5,5.727272727,0,2,2,3,2,2.333333333,A1EITLFAMKA61U,34,1,,34.04179382,-117.756897
R_2WUAnfdEV8IVumm,198.178.167.12,10/16/2018 13:25,10/16/2018 13:30,5.483333326,1,6,5,5.5,3,3,8,6,5,1,7,4,6,5,7,7,8,8,8,1,7,4,4,4,7,8,8,8,7,2,6,5,2,3.5,8,8,8,8,8,1,7,4,4,4,6,8,7,7,7,2,6,5,4,4.5,3,3,7,5,5,1,4,4.416666667,5.666666667,6.166666667,5.916666667,7.666666667,7,6.666666667,1.333333333,6.166666667,77.007,5,4,5,4,4,3,4,4,4,3,4,4.4,3.6,5,5,4,5,4.75,5,6,5,5,5,5,7,5,6,6,5,5.454545455,0,2,1,2,2,1.666666667,A2JQDZY77YZDVB,36,2,,43.02619934,-96.0868988
R_1GNTQE1QQmPuvVT,128.120.197.214,10/16/2018 13:24,10/16/2018 13:31,6.166666673,-1,4,4,4,6,6,7,7,6,4,5,4,4,4,6,6,7,7,6,4,6,4,4,4,5,5,6,6,5,3,5,4,4,4,6,6,7,7,6,4,6,4,4,4,5,5,6,6,5,4,4,4,4,4,5,5,7,7,5,4,5,4,5.5,5.5,5.5,6.666666667,6.666666667,5.5,3.833333333,5.166666667,77.03,4,4,4,4,3,3,3,3,3,3,3.4,3.8,3,4,4,5,5,4.5,3,4,6,4,5,5,6,5,5,5,4,4.727272727,0,5,4,6,6,5.333333333,A2JU1WGLMT3URR,29,1,,38.4828949,-121.639801
